year,ar,sat
2002,-0.00046111111111110735,-0.375
2003,-0.013855000000000001,-0.4444444444444444
2004,-0.0028900000000000037,7.4
2005,-0.005069999999999998,4.9
2006,-0.010590000000000002,-0.7
2007,-0.010429999999999998,-0.25
2008,-0.01259,5.4
2009,-0.008765000000000002,4.75
2010,-0.017464999999999994,6.45
2011,-0.02214,12.4
2012,0.011165,-6.95
2013,-0.02409,13.8
2014,-0.009900000000000003,6.8
2015,-0.0020299999999999984,6.35
2016,-0.0056000000000000025,9.3
2017,-0.0032999999999999974,24.2
2018,-0.012795,4.15
2019,-0.004960000000000001,4.55
2020,0.009565000000000002,1.894736842105263
2021,-0.024236775349999996,11.0
