2024 USWN Ranking,School,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,(1) Princeton University,1445,1472,1465,1480,1480,1474,1477,1478,1482,1485,1492,1487,1495,1491,1490,1493,1500,1503,1517,1506,1517
2,(2) Massachusetts Institute of Technology,1485,1490,1473,1477,1491,1460,1464,1464,1472,1486,1490,1490,1503,1500,1507,1519,1532,1545,1547,1550,1560
3,(3) Harvard University,1477,1484,1488,1484,1480,1483,1491,1482,1468,1478,1497,1485,1501,1501,1497,1506,1523,1520,1517,1520,1534
3,(3) Stanford University,1441,1431,1439,1450,1440,1423,1430,1432,1436,1452,1465,1446,1466,1465,1479,1476,1489,1497,1503,1491,1528
5,(5) Yale University,,,1465,1471,1471,1474,1471,1481,1475,1473,1488,1497,1497,1493,1498,1502,1520,1517,1517,1520,1526
6,(6) University of Pennsylvania,1400,1399,1405,1405,1420,1392,1414,1418,1436,1435,1439,1435,1442,1452,1457,1481,1506,1492,1511,1517,1523
7,(7) California Institute of Technology,1520,1525,1520,1510,1510,1520,1517,1514,1514,1528,1520,1520,1534,1545,1544,1555,1558,1566,1557,1566,
8,(8) Duke University,,1410,1420,1424,1418,1448,1427,1430,1440,1432,1435,1435,1444,1454,1450,1460,1488,1516,1522,1530,1516
9,(9) Brown University,1382,1382,1379,1397,1417,1423,1414,1413,1420,1415,1419,1387,1425,1435,1457,1459,1494,1492,1511,1508,1517
9,(9) Johns Hopkins University,1405,1369,1380,1380,1378,1373,1380,1395,1395,1390,1403,1393,1418,1439,1453,1476,1524,1513,1514,1532,1553
9,(9) Northwestern University,1380,1390,1379,1390,1399,1399,1399,1431,1427,1434,1452,1438,1458,1461,1460,1470,1500,1508,1506,1505,1529
12,(12) Columbia University,,1420,1425,1435,1429,1429,1423,1422,1445,1457,1486,1471,1471,1470,1473,1496,1522,1512,1511,1517,1528
12,(12) Cornell University,1379,1379,1367,1382,1378,1377,1385,1395,1391,1394,1410,1394,1422,1422,1428,1436,1477,1471,1487,1480,1510
12,(12) University of Chicago,1382,1403,1377,1407,1421,1440,1403,1397,1425,1458,1469,1468,1504,1505,1506,1508,1524,1520,1528,1537,1535
15,"(15) University of California, Berkeley",1320,1305,1315,1291,1308,1315,1299,1314,1318,1334,1361,1349,1350,1382,1397,1422,1414,1448,1449,1437,
15,"(15) University of California, Los Angeles",1280,1259,1265,1261,1274,1275,1275,1275,1266,1266,1289,1289,1289,1330,1339,1334,1387,1423,1429,,
17,(17) Rice University,1420,1400,1410,1433,1432,1417,1409,1425,1425,1435,1437,1428,1454,1460,1482,1490,1535,1513,1520,1533,1534
18,(18) Dartmouth College,1425,,1430,1439,1445,1441,1441,1435,1432,1444,1446,1454,1446,1444,1437,1441,1483,1488,1500,1500,1508
18,(18) Vanderbilt University,1310,1322,1322,1349,1366,1366,1386,1408,1430,1433,1471,1454,1475,1481,1498,1495,1515,1514,1515,1520,1534
20,(20) University of Notre Dame,1363,1373,1376,1383,1389,1403,1422,1426,1433,1430,1438,1448,1450,1450,1455,1474,1486,1502,1490,1489,1490
