year,ar,sat
2001,0.711457076073098,1053.321719792439
2002,0.6818849864917028,1051.3120805369128
2003,0.6828390786948195,1054.181225554107
2004,0.6693663839629906,1052.4433249370277
2005,0.6657055702917755,1056.1718170580964
2006,0.6672808763460848,1054.817895400126
2007,0.6562974817518248,1052.9636479591836
2008,0.6478943873807801,1055.6432258064517
2009,0.658415558019217,1057.520103761349
2010,0.6373273920406437,1059.8823915900132
2011,0.6564586688578427,1060.5876559422193
2012,0.6564632164948455,1061.624918460535
2013,0.6669496677004889,1062.7935989549314
2014,0.6722756793478218,1065.7498228206946
2015,0.6714873646209336,1066.4339757316202
2016,0.659293588516746,1068.884372810091
2017,0.6702382409177801,1139.0987482614742
2018,0.6744386634844888,1147.9957686882933
2019,0.678743567670971,1146.7395906845447
2020,0.7016521697663335,1147.6567630961688
2021,0.7138807587629709,1171.0086132644271
